name,value,bound_1,bound_2,is_log
c_p,4.50E-13,1.00E-13,8.00E-12,1
c_m,2.47E-11,1.00E-11,9.00E-11,1
a0_m,14529.06,10000,100000,1
s_m,12.8321,10,100,0
a0_h,9.6,0.1,50,1
s_h,21.42,10,100,0
a0_j,0.9662,0.1,1,1
s_j,69.417,10,100,0
tau_j_const,0.00132,5.00E-04,0.005,1
R,24946770,10000000,100000000,1
R_f,326421.4,100000,1000000,1
g_max,6392.4,1000,10000,1
g_leak,0.4812443,0.01,1,1
tau_z,0.00010003,1.00E-05,0.001,1
v_half_m,28.35802,10,60,0
v_half_h,59.69117,50,100,0
k_m,7.66677,1,10,0
k_h,6.507771,1,10,0
x_c_comp,0.05,0.01,0.999,1
x_r_comp,0.2,0.01,0.999,1
alpha,0.75,0.74,0.76,1
v_off,-2,-15,15,0
v_rev,18,-50,50,0
v_c,-80,-100,100,0
